Genus,109_1,109_2,109_3
Bacillus ,10048,27808,908
Cryptococcus,171,543,21
Enterococcus ,6172,16979,559
Escherichia-Shigella,17250,48163,1465
Limosilactobacillus ,3288,9510,222
Listeria ,5747,15996,487
Pseudomonas ,34937,101691,1117
Saccharomyces,430,1338,51
Salmonella,14301,40884,1327
Staphylococcus,8780,23740,555
Non-Mapped,98,142,314
