Genus,112_1,112_2,112_3
Bacillus ,11.66931454,11.13815489,11.0708402
Cryptococcus,0.25765346,0.252129201,0.285557386
Enterococcus ,6.225664919,5.888308749,6.348160351
Escherichia-Shigella,20.15953112,19.75342955,20.81274025
Limosilactobacillus ,3.722392802,3.866510492,3.393739703
Listeria ,5.622278381,5.47696095,5.722130697
Pseudomonas ,21.39840798,22.7769947,20.82372323
Saccharomyces,0.444513957,0.520537611,0.549148819
Salmonella,17.94025403,17.49339898,18.17682592
Staphylococcus,7.430791646,7.543229239,7.60021966
Non-Mapped,5.129197158,5.290345635,5.216913784
