Genus,112_1,112_2,112_3
Bacillus ,14121,28588,1008
Cryptococcus,312,682,26
Enterococcus ,7886,16495,578
Escherichia-Shigella,24552,50710,1895
Limosilactobacillus ,5255,12587,309
Listeria ,7426,15824,521
Pseudomonas ,70088,186264,1896
Saccharomyces,644,1768,50
Salmonella,21376,44472,1655
Staphylococcus,11733,27544,692
Non-Mapped,72,125,475
