Genus,109_WGS,Expected
Bacillus ,12921.33,1486.74
Cryptococcus,245.00,53.41
Enterococcus ,7903.33,2107.42
Escherichia-Shigella,22292.67,1226.92
Limosilactobacillus ,4340.00,3117.83
Listeria ,7410.00,2006.38
Pseudomonas ,45915.00,880.50
Saccharomyces,606.33,82.28
Salmonella,18837.33,1255.79
Staphylococcus,11025.00,2194.03
Non-Mapped,184.67,0.00
